id,method,factors,nobs,bias_withoutC_L_SE2,bias_withoutC_L_SE6,bias_withoutC_L_SE8,bias_withoutC_L_SE12,bias_withoutC_T_SEi8.b,bias_withoutC_T_SEi12.b,bias_withoutC_C_SE1,bias_withoutC_Errvar_SE2,bias_withoutC_Errvar_SE6
45,DWLS,2,200,-0.2775897646893726,-0.24851049214644205,-0.5734825418752615,-1.8873689927996151,-2.0445897042668664,-2.1831417262545285,-1.3996539523958158,2.36020948061194,0.44212433338567947
46,DWLS,2,200,-0.6243804758395928,0.007140123925667569,-1.2052708913188417,-0.4816230077117949,-2.039111663521126,-2.1905549804475175,-1.5379557576279748,1.3134750276775693,0.9208656524998595
47,DWLS,2,200,-1.103715345681023,-0.7696286062651727,-0.14854906041157148,-1.0220123698027648,-2.0622874862639766,-2.1785033591351075,-1.191236494154585,1.6391946063857097,-0.6761505883392499
48,DWLS,2,200,-0.9234959504264929,-0.3997286437360331,-0.8311555543659519,-1.4946643525194343,-2.040719921314356,-2.170446601684048,-1.3865227973210645,2.1593180223768598,0.8842390669005794
49,DWLS,2,200,-0.584151506527103,-0.29659661555918315,-0.8225648902764615,-1.2737203622799051,-2.0372816776152463,-2.1627346048939984,-1.125752419462525,2.2264400660165795,-0.14610589712525102
50,DWLS,2,200,-1.5901446638695729,-0.34451484078759226,-0.49530582987862143,-0.9151714260802447,-2.0558005777032164,-2.1965200108812186,-1.7166127895338446,1.3340367135332598,1.3281415040691698
51,DWLS,2,200,-0.43601011635764286,-0.2576812548889029,-0.3780751303204217,0.07600328313087518,-2.037044247268767,-2.1862148370271077,-1.6446749846076247,1.9880532928735797,1.0703959100147895
52,DWLS,2,200,-0.9380583507153526,-0.18199006922710315,-0.9014438179862215,-0.625201211442715,-2.028582170368537,-2.154849997238538,-0.21837853561850543,1.3032621556426593,0.9145192405491096
53,DWLS,2,200,-0.5167138535118826,-1.150365633270982,-0.03305960102722161,-0.2134440751339145,-2.030106681783707,-2.160709401547588,-1.9412079101639654,2.2870239020812497,0.5435250670485593
54,DWLS,2,200,-1.3032596628262025,-0.47888145707377233,0.04911160852430832,-1.098340029665345,-2.0275752941700365,-2.1724614095475574,-0.9868429019169247,1.7540962769856998,1.2116416238105596
55,DWLS,2,200,-1.3642824813825831,0.19068212970443713,-1.2956154606293915,-1.4040200660438054,-2.037947249179617,-2.1741015168564886,-2.0545822318730256,-0.025515754306310034,1.0439712423806395
56,DWLS,2,200,-0.8413152004244127,-1.1198256591130231,-0.11254094103043191,-0.7794207363061946,-2.0560807848901868,-2.167123587522109,-2.3162518220409045,1.8999998114037895,0.38721862739092977
57,DWLS,2,200,-0.8800335866542928,-0.8956186642767718,-0.0650950116048217,-0.40094043175380456,-2.018921560047586,-2.2013326143531478,-1.1432608471133046,0.9560530349939395,-1.1367844164263508
58,DWLS,2,200,-1.0596939281865627,0.11732261871276739,-0.46190743210525187,-0.828610942178365,-2.0214207615412967,-2.2034292710571375,-0.8056084667722146,0.5176644374903796,1.0774627311973997
59,DWLS,2,200,-1.5801150883965533,0.11153586762733744,0.19838965004580836,-0.9164705331296347,-2.0413250808931567,-2.169137014058198,-1.1019737558153955,2.38275574371509,0.9076046873719191
60,DWLS,2,200,-1.138772718574283,-0.03362943649834263,-0.7337871940557419,-0.137524883485355,-2.0238097330348164,-2.1542001462934084,-0.8769424416276345,1.1966275855371398,-0.1577487534484806
61,DWLS,2,200,-1.5170122650269826,-0.8449848534729729,-0.7041413023454415,-0.032114415616835146,-2.018521779144977,-2.1594667655456883,-0.5319801611397251,1.9365196140651895,-0.13834141807562012
62,DWLS,2,200,-1.4592741510806022,-0.8511714951702622,-0.6820069922417716,-1.5236231474760942,-2.019211018518796,-2.182731840162538,-1.4251427805574646,1.0590695202358495,1.9817839632827696
63,DWLS,2,200,-0.5578285197979829,-1.151961557322012,-0.5817408431918816,-0.7249752322937252,-2.031685505651887,-2.1902188293977485,-1.2012238629131657,1.7394484480522097,-1.7956010256124102
