id,method,factors,nobs,ncat,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE7,bias_withC_T_SEi6,bias_withC_T_SEi7,bias_withC_C_SE1
1884,PML,2,400,2,0.33380159093711825,-0.4464471596629299,0.26220959145679335,0.4273875767527052,0.4419338079927962,0.342854676483656
1885,PML,2,400,2,-0.05771378339389163,0.1263287127941798,-0.17768456372151686,0.42611762571950484,0.4460253371892958,-0.22066984128135403
1886,PML,2,400,2,-0.31818576534172194,0.16158263472885043,0.4769332073126034,0.4149819521233847,0.44627538062291666,0.22588669412446638
1887,PML,2,400,2,-0.6093084710237215,-0.8454812437212897,0.015499345646172863,0.4235125082532945,0.4487404483946661,0.06746258681560591
1888,PML,2,400,2,0.08055510355939807,0.20480199019546064,-0.6430445861997668,0.4276470413216854,0.44465876599775606,-0.5684740773587147
1889,PML,2,400,2,-0.9924412282672421,-0.8334196129478305,0.4251307064185229,0.42825710214999535,0.4484424157653766,0.33816952016205576
1890,PML,2,400,2,-0.7906212491275322,-0.7325439927355404,-1.2597108953928668,0.42460782796141516,0.44893905714623594,0.14806975417949592
1891,PML,2,400,2,-0.21189795703596206,0.012503755257560478,0.9864984598560632,0.42732041599235493,0.45155554599693587,0.2455502527036857
1892,PML,2,400,2,-0.9584701544650422,-0.10407636364843931,-0.3244746907145671,0.4269354716665147,0.4450625824250168,-0.09839975176111349
1893,PML,2,400,2,-0.5418990245135022,-0.2620415583307098,-0.3698807227970266,0.4189908152761046,0.4491617068612966,-0.18413030453227341
1894,PML,2,400,2,-0.7825066693685517,-0.6008675274403297,-0.08939531059205669,0.42642164283017425,0.44732871160338555,0.20028127133483592
1895,PML,2,400,2,0.6952460114246779,0.5250249932575903,0.5225226584386629,0.4115303578862847,0.4481204289713159,-0.04173140984957413
1896,PML,2,400,2,-0.4376292558892221,-0.05733538481998979,-0.045080061340566774,0.4256375298432244,0.4492209727730262,0.03250922055749589
1897,PML,2,400,2,0.1838915381025083,0.04507341583975949,-0.4305077911017169,0.427524735851105,0.4406275508955462,0.1703452238124556
