id,method,factors,nobs,ncat,bias_withoutC_L6,bias_withoutC_L7,bias_withoutC_Ti6,bias_withoutC_Ti7,bias_withoutC_C1
1759,PML,2,400,2,28.635047740573,-8.243354827824511,5.01483461611864,-5.64510261603261,-3.8703700951226625
1760,PML,2,400,2,8.933280303081679,8.023368162459994,3.7645105811118103,1.8853723639555502,-3.6986012709413303
1761,PML,2,400,2,29.240522372996995,2.5772874611601218,3.13760796605155,-1.2574485957427601,55.742489259978676
1762,PML,2,400,2,11.325726994490507,13.17230108476325,1.87788619886702,3.13163583396779,-12.945933442154667
1763,PML,2,400,2,25.531682767190333,-5.7793086729387575,5.01620561944128,-10.0353927493716,15.22816795033934
1764,PML,2,400,2,8.422515967271005,-9.247392626234003,1.8810869170690199,-13.826757065432899,13.642194088301347
1765,PML,2,400,2,27.53061683108401,4.878779553288873,8.16865965387891,2.4959141473756796,46.198603791734335
1766,PML,2,400,2,24.75350650105651,-7.025489598198376,10.0404193262916,5.01714607199317,6.260965199130997
1767,PML,2,400,2,-6.351511599005821,1.7198423972593635,-6.269883135785149,0.00659856765768744,-26.986821940093662
1768,PML,2,400,2,-6.956257154049665,-1.6911537138700057,-10.0372359427705,-8.7842104654432,8.780303005182343
1769,PML,2,400,2,17.065599139749494,-3.8681439506353805,1.88290737201086,-2.5047875199943297,44.64174160956101
1770,PML,2,400,2,35.6688340374825,0.47134691639612314,-1.8982498780656099,-1.87229843016604,36.59285865896533
1771,PML,2,400,2,25.658129994484675,-10.009163595051385,10.675951556784,-10.0412089265646,-22.442930465552664
1772,PML,2,400,2,40.92276064646416,-2.030642306740882,6.26929687392232,-6.270202102693739,15.653619960574334
1773,PML,2,400,2,17.011729143894,3.4550952745691226,-1.8809862987717099,-2.5162986894477197,29.835552573520996
1774,PML,2,400,2,10.208905802579347,5.545296574315239,4.39209636012806,9.81679787283328e-4,15.961243860771008
1775,PML,2,400,2,24.749048522523005,7.39548270596474,1.25195361744628,-7.5286087090345,-8.48450892783433
1776,PML,2,400,2,2.8935864722131797,-0.401925507743886,-3.76040297276852,-5.01315437390002,0.15907032511934077
